1	2	72
1	15	45
1	16	24
1	17	22
2	3	74
3	4	79
3	15	78
4	5	73
4	6	71
4	18	55
4	18	54
5	6	66
6	7	53
6	8	65
7	8	46
7	29	10
8	9	30
9	10	48
9	11	42
9	12	69
9	13	68
9	55	27
10	12	60
10	51	21
11	13	50
11	41	20
11	43	33
12	13	56
12	16	75
12	17	70
13	14	61
13	15	44
13	49	29
14	15	67
14	46	31
15	45	41
18	19	25
19	20	47
21	20	62
21	22	63
22	23	34
22	38	38
23	24	64
24	25	23
24	25	28
24	26	17
25	30	11
26	27	16
27	28	12
28	29	9
29	52	15
30	31	2
31	32	51
32	33	80
34	32	4
34	35	5
35	36	8
36	37	3
36	40	14
37	38	1
37	39	19
38	44	49
38	48	13
38	49	36
39	57	32
40	56	35
41	42	6
41	43	37
44	45	39
46	47	7
47	48	18
48	49	58
49	50	77
50	51	52
52	53	26
53	54	76
54	55	43
56	41	40
56	42	57
57	56	59
