1	2	87
1	3	94
2	12	35
3	5	34
3	12	121
4	5	32
4	11	44
5	6	31
5	11	33
6	7	102
7	12	128
8	5	26
8	9	19
8	30	30
9	10	20
11	12	53
11	13	10
12	14	99
12	16	81
12	117	17
13	15	164
14	15	123
15	17	27
15	19	124
15	33	92
16	17	133
17	18	51
17	31	150
17	113	165
18	19	83
19	20	80
19	34	146
20	21	78
21	22	52
22	23	55
23	24	131
23	25	151
23	32	98
24	70	106
24	72	111
25	27	72
26	25	154
26	30	48
27	28	5
27	32	153
27	115	4
28	29	176
29	31	173
30	17	29
30	38	136
31	32	114
32	113	180
32	114	179
33	37	113
34	36	183
34	37	68
34	43	9
35	36	185
35	37	2
37	39	93
37	40	155
38	37	22
38	65	71
39	40	144
40	41	8
40	42	137
41	42	169
42	49	166
42	49	77
43	44	181
44	45	12
45	46	15
45	49	16
46	47	157
46	48	184
47	49	149
47	69	158
48	49	3
49	50	82
49	51	24
49	54	103
49	54	100
49	66	174
49	66	175
49	69	167
50	57	88
51	52	140
51	58	142
52	53	66
53	54	28
54	55	118
54	56	105
54	59	115
55	56	97
55	59	117
56	57	138
56	58	143
56	59	116
56	59	122
59	60	25
59	61	156
60	61	6
60	62	147
61	62	177
62	66	145
62	67	141
63	59	170
63	64	171
64	61	168
64	65	67
65	66	129
65	68	126
66	67	152
68	69	59
68	81	85
68	116	13
69	70	74
69	75	57
69	77	65
70	71	159
70	74	101
70	75	139
71	72	160
71	73	161
74	75	56
75	77	112
75	118	1
76	77	182
76	118	186
77	78	7
77	80	45
77	80	91
77	82	95
78	79	172
79	80	163
80	96	49
80	97	39
80	98	162
80	99	41
81	80	86
82	83	58
82	96	108
83	84	96
83	85	132
84	85	76
85	86	135
85	88	69
85	89	148
86	87	90
88	89	54
89	90	46
89	90	23
89	92	40
89	92	84
90	91	119
91	92	120
92	93	130
92	94	70
92	100	42
92	102	36
93	94	109
94	95	50
94	96	127
94	100	89
95	96	79
96	97	73
98	100	11
99	100	134
100	101	75
100	103	43
100	104	60
100	106	21
101	102	37
103	104	64
103	105	63
103	110	47
104	105	61
105	106	18
105	107	62
105	108	107
106	107	104
108	109	110
109	110	125
110	111	38
110	112	14
114	115	178
